               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.031809,            0.013194,            0.018424,             0.84086,             0.80277,             0.87019,              0.3891,            0.039565,           0.0060407,             0.01137,            0.006964,            0.006964,            0.006964
                  48,            0.032776,            0.013005,            0.018211,              0.7538,             0.79727,             0.80576,             0.31643,            0.041879,           0.0068467,             0.01014,            0.006898,            0.006898,            0.006898
                  49,            0.032331,            0.013616,            0.017361,             0.80489,              0.8322,             0.91169,             0.48355,            0.033137,           0.0060222,            0.011743,            0.006832,            0.006832,            0.006832
                  50,            0.032976,            0.013353,            0.018226,             0.84796,             0.78429,             0.85869,             0.39471,            0.039792,           0.0059198,            0.011562,            0.006766,            0.006766,            0.006766
                  51,            0.032111,            0.013344,            0.017367,             0.63429,             0.70355,             0.73121,             0.31186,            0.041663,           0.0072469,            0.016849,              0.0067,              0.0067,              0.0067
                  52,            0.032708,            0.013063,            0.018519,             0.72181,             0.83193,             0.85825,              0.4058,            0.042914,           0.0061063,            0.016022,            0.006634,            0.006634,            0.006634
                  53,            0.031999,             0.01305,            0.017477,             0.73858,             0.83698,             0.91492,             0.50059,            0.034038,           0.0061854,             0.01203,            0.006568,            0.006568,            0.006568
                  54,            0.032572,             0.01292,            0.016687,             0.85646,             0.82122,             0.88433,             0.46433,            0.038134,           0.0059051,           0.0090702,            0.006502,            0.006502,            0.006502
                  55,            0.031211,            0.012895,            0.017259,             0.77584,             0.83899,             0.86307,             0.46491,            0.036551,           0.0063601,            0.010896,            0.006436,            0.006436,            0.006436
                  56,            0.032504,            0.013184,            0.016137,             0.74272,              0.7459,              0.8146,              0.3882,             0.03874,           0.0073379,            0.011419,             0.00637,             0.00637,             0.00637
                  57,            0.030897,            0.012698,            0.016228,             0.75855,             0.75758,             0.80807,             0.37507,            0.039933,           0.0065736,            0.011384,            0.006304,            0.006304,            0.006304
                  58,            0.030883,            0.012825,            0.015158,             0.77049,             0.85722,             0.89345,             0.39196,            0.040167,            0.006642,            0.010783,            0.006238,            0.006238,            0.006238
                  59,            0.031798,            0.012649,             0.01475,             0.80146,             0.75565,             0.84309,             0.42409,            0.035163,           0.0063688,            0.011199,            0.006172,            0.006172,            0.006172
                  60,            0.031492,             0.01284,            0.016392,             0.77548,             0.71584,             0.80434,             0.40546,            0.036245,           0.0068352,            0.011342,            0.006106,            0.006106,            0.006106
                  61,            0.031834,            0.012219,            0.015007,             0.82949,             0.76409,             0.87804,             0.48411,            0.036599,           0.0066402,            0.012097,             0.00604,             0.00604,             0.00604
                  62,            0.031109,            0.012504,            0.014553,             0.86105,             0.75497,             0.90656,               0.491,            0.035085,           0.0063798,            0.011476,            0.005974,            0.005974,            0.005974
                  63,            0.030533,             0.01257,            0.015482,             0.84266,             0.82028,              0.8852,             0.43748,             0.03696,           0.0067581,            0.012837,            0.005908,            0.005908,            0.005908
                  64,              0.0299,            0.013171,            0.013228,             0.60855,             0.79173,             0.79899,             0.38179,            0.038154,           0.0066685,            0.014582,            0.005842,            0.005842,            0.005842
                  65,            0.030641,            0.012404,            0.013635,             0.61618,             0.66614,             0.69597,             0.25075,            0.042298,           0.0077752,            0.015326,            0.005776,            0.005776,            0.005776
                  66,            0.029529,            0.012634,            0.013434,             0.87747,             0.72625,             0.84001,             0.39844,            0.038192,           0.0062357,            0.009914,             0.00571,             0.00571,             0.00571
                  67,            0.029998,             0.01252,             0.01492,             0.90181,             0.71485,             0.85203,             0.40984,            0.036902,            0.006454,           0.0095681,            0.005644,            0.005644,            0.005644
                  68,            0.030013,            0.012078,            0.014291,             0.78856,             0.74217,             0.82612,             0.42157,             0.03712,           0.0067011,            0.011609,            0.005578,            0.005578,            0.005578
                  69,            0.029877,            0.012607,            0.012048,             0.77779,             0.76979,             0.83979,             0.44618,            0.036989,           0.0062634,            0.014207,            0.005512,            0.005512,            0.005512
                  70,            0.029676,            0.011732,            0.013663,             0.75727,              0.7614,             0.80652,             0.44956,            0.035881,           0.0061529,            0.014698,            0.005446,            0.005446,            0.005446
                  71,            0.028712,             0.01198,            0.013562,             0.71095,              0.7624,             0.82658,             0.43392,            0.036768,           0.0063463,            0.014379,             0.00538,             0.00538,             0.00538
                  72,            0.029857,            0.012389,             0.01255,               0.846,             0.75568,             0.83452,             0.47388,            0.035937,           0.0062924,           0.0096254,            0.005314,            0.005314,            0.005314
                  73,            0.029859,            0.011637,            0.011493,             0.83329,             0.76097,             0.85231,             0.46728,            0.035323,           0.0070136,           0.0099008,            0.005248,            0.005248,            0.005248
                  74,            0.028869,            0.012753,             0.01293,             0.87732,             0.76063,             0.83456,              0.4459,            0.033415,           0.0070738,           0.0086624,            0.005182,            0.005182,            0.005182
                  75,            0.029199,            0.011932,            0.013124,             0.83821,              0.7291,             0.84489,             0.38474,            0.038503,           0.0065755,           0.0091745,            0.005116,            0.005116,            0.005116
                  76,            0.028732,             0.01226,            0.012372,             0.85243,             0.79971,             0.92903,             0.50434,            0.034332,           0.0065366,            0.010585,             0.00505,             0.00505,             0.00505
                  77,            0.027544,            0.012378,            0.011939,             0.80295,             0.78122,             0.85716,             0.43466,            0.037407,           0.0064309,           0.0098263,            0.004984,            0.004984,            0.004984
                  78,            0.027719,            0.011664,            0.011866,             0.78915,             0.77578,             0.80272,             0.42668,            0.036662,           0.0064798,            0.014963,            0.004918,            0.004918,            0.004918
                  79,            0.027804,            0.011596,            0.011798,              0.7243,             0.62661,             0.72031,              0.3293,            0.041274,            0.007061,            0.020351,            0.004852,            0.004852,            0.004852
                  80,            0.027869,            0.012465,             0.01202,             0.78324,             0.75828,             0.85088,             0.42047,            0.036284,           0.0063634,            0.016272,            0.004786,            0.004786,            0.004786
                  81,            0.027969,            0.012154,            0.012219,             0.87426,             0.75279,             0.86673,              0.4527,            0.033108,           0.0065882,            0.011234,             0.00472,             0.00472,             0.00472
                  82,            0.027357,            0.011928,            0.011101,             0.73444,             0.80102,             0.86172,              0.4664,            0.034167,           0.0068703,            0.011099,            0.004654,            0.004654,            0.004654
                  83,            0.026219,            0.012108,            0.010415,             0.75388,             0.76356,             0.84159,              0.4526,            0.035206,           0.0066198,            0.013408,            0.004588,            0.004588,            0.004588
                  84,            0.026595,            0.011845,            0.011604,             0.78445,             0.78178,             0.86792,             0.40899,            0.037133,            0.006901,            0.013473,            0.004522,            0.004522,            0.004522
                  85,            0.026722,            0.011551,            0.011925,             0.75228,             0.72924,             0.82983,             0.43136,            0.035128,           0.0071554,            0.015371,            0.004456,            0.004456,            0.004456
                  86,            0.026335,            0.011728,            0.009985,             0.70396,             0.86555,             0.90429,              0.4839,            0.034759,           0.0072676,            0.013399,             0.00439,             0.00439,             0.00439
                  87,            0.026188,            0.011478,            0.011253,             0.70508,             0.89502,             0.90873,             0.45908,            0.036395,           0.0074588,            0.012316,            0.004324,            0.004324,            0.004324
                  88,            0.026596,            0.011381,           0.0094625,             0.84226,             0.84489,             0.92985,             0.49085,            0.035867,           0.0067151,            0.010983,            0.004258,            0.004258,            0.004258
                  89,            0.026717,            0.011324,           0.0099184,             0.70607,             0.81579,             0.83887,             0.45756,            0.033416,           0.0069264,           0.0087168,            0.004192,            0.004192,            0.004192
                  90,             0.02621,            0.011436,            0.010524,             0.87188,             0.78939,             0.89978,             0.51714,            0.032421,           0.0068515,           0.0094913,            0.004126,            0.004126,            0.004126
                  91,            0.026438,            0.011326,           0.0091091,             0.72568,             0.91361,             0.89019,             0.48829,            0.034316,           0.0071508,           0.0084693,             0.00406,             0.00406,             0.00406
                  92,            0.026494,            0.011307,           0.0090018,             0.71017,              0.8873,             0.88008,             0.49098,            0.033597,           0.0069829,            0.009125,            0.003994,            0.003994,            0.003994
                  93,            0.026123,            0.011188,           0.0097292,             0.77943,             0.67624,             0.81306,             0.46332,            0.034546,           0.0072313,            0.012217,            0.003928,            0.003928,            0.003928
                  94,            0.025295,            0.011475,            0.009899,             0.71865,             0.92196,             0.92531,             0.44547,             0.03537,           0.0069467,           0.0070269,            0.003862,            0.003862,            0.003862
                  95,            0.026024,            0.011431,           0.0098662,             0.74895,             0.88854,             0.89247,             0.49963,            0.030523,           0.0063003,            0.007729,            0.003796,            0.003796,            0.003796
                  96,            0.025788,            0.011008,           0.0076764,             0.78376,              0.8769,             0.89478,             0.48149,            0.033564,           0.0062849,              0.0102,             0.00373,             0.00373,             0.00373
                  97,            0.025366,            0.011462,            0.010175,             0.69478,             0.84566,             0.86882,             0.46784,            0.037092,           0.0062666,             0.01636,            0.003664,            0.003664,            0.003664
                  98,            0.025326,            0.011096,           0.0085062,             0.71727,             0.75415,             0.80661,             0.44415,            0.038196,           0.0075471,            0.021051,            0.003598,            0.003598,            0.003598
                  99,            0.024693,            0.011032,           0.0089808,             0.74521,             0.83405,             0.89291,             0.46472,            0.034138,           0.0067111,             0.00989,            0.003532,            0.003532,            0.003532
                 100,            0.024715,            0.011407,           0.0090609,              0.7482,             0.88059,             0.90721,              0.5089,            0.032479,           0.0066605,            0.012115,            0.003466,            0.003466,            0.003466
                 101,            0.025445,            0.011249,           0.0088934,             0.78982,             0.82935,             0.89454,             0.53292,            0.029902,           0.0076566,            0.011127,              0.0034,              0.0034,              0.0034
                 102,            0.025562,            0.011326,           0.0093037,             0.81322,             0.82224,             0.90887,             0.52508,             0.03342,           0.0067508,            0.010196,            0.003334,            0.003334,            0.003334
                 103,            0.024781,            0.011226,           0.0089238,              0.7988,               0.848,             0.93951,             0.50502,            0.032702,            0.006159,            0.010613,            0.003268,            0.003268,            0.003268
                 104,            0.024532,            0.010966,           0.0093511,              0.7476,             0.85911,              0.8773,             0.49061,            0.034079,           0.0065559,           0.0067879,            0.003202,            0.003202,            0.003202
                 105,            0.024856,             0.01039,           0.0083089,             0.82581,             0.91025,             0.94081,             0.52146,            0.032608,           0.0065289,           0.0071768,            0.003136,            0.003136,            0.003136
                 106,            0.025009,            0.010537,           0.0088867,              0.8723,             0.81448,             0.87867,             0.49785,            0.034717,           0.0062372,            0.010588,             0.00307,             0.00307,             0.00307
                 107,             0.02486,             0.01091,           0.0088712,              0.8636,               0.792,             0.86999,             0.47574,            0.033319,           0.0071811,            0.012441,            0.003004,            0.003004,            0.003004
                 108,            0.023977,            0.011283,           0.0080124,             0.82972,             0.85876,             0.88187,             0.47828,            0.035036,           0.0063594,           0.0096062,            0.002938,            0.002938,            0.002938
                 109,            0.024712,            0.010476,           0.0081013,             0.85301,             0.81774,             0.89814,             0.49094,            0.033448,           0.0061283,            0.010241,            0.002872,            0.002872,            0.002872
                 110,             0.02333,            0.010768,           0.0078241,              0.7938,             0.87093,             0.91506,             0.48666,            0.034193,            0.006442,           0.0097704,            0.002806,            0.002806,            0.002806
                 111,            0.023698,            0.010855,           0.0087595,             0.84112,             0.85102,             0.93763,             0.50218,            0.031233,           0.0061939,            0.011087,             0.00274,             0.00274,             0.00274
                 112,            0.023594,            0.010485,           0.0075458,              0.8698,             0.82228,             0.92668,             0.51622,            0.032702,           0.0066029,            0.010022,            0.002674,            0.002674,            0.002674
                 113,            0.023957,            0.010804,           0.0089095,             0.88614,             0.84202,             0.92753,             0.50924,            0.032309,           0.0063288,           0.0081796,            0.002608,            0.002608,            0.002608
                 114,            0.022955,            0.010514,           0.0079092,             0.85568,             0.84159,             0.92028,             0.49967,            0.033295,           0.0062098,           0.0096273,            0.002542,            0.002542,            0.002542
                 115,            0.023823,            0.010442,           0.0089784,             0.86855,             0.86127,             0.94567,              0.5417,              0.0311,           0.0058965,            0.010139,            0.002476,            0.002476,            0.002476
                 116,            0.023433,            0.010102,           0.0076891,             0.84908,             0.86528,             0.90398,             0.52348,            0.030541,            0.006174,           0.0097462,             0.00241,             0.00241,             0.00241
                 117,            0.021461,            0.010208,           0.0067249,             0.81913,             0.86817,             0.88066,              0.5162,             0.03331,           0.0061629,           0.0090434,            0.002344,            0.002344,            0.002344
                 118,            0.022345,            0.010802,           0.0064999,             0.82466,             0.86417,             0.92626,             0.52101,             0.03382,           0.0061229,            0.010161,            0.002278,            0.002278,            0.002278
                 119,             0.02203,            0.010669,           0.0064187,             0.79798,              0.8859,             0.91825,             0.52303,            0.034016,           0.0060872,            0.010621,            0.002212,            0.002212,            0.002212
                 120,            0.022898,            0.010283,           0.0077235,              0.8314,             0.88728,              0.9409,              0.5267,            0.032959,           0.0061991,           0.0096866,            0.002146,            0.002146,            0.002146
                 121,            0.022199,            0.010459,           0.0078291,             0.80264,             0.84835,             0.90457,             0.49071,            0.032749,           0.0069563,            0.011216,             0.00208,             0.00208,             0.00208
